n,m_min,t,predicted,empirical,abs_diff
20,16,8,0.9568255029663314,0.9556666666666667,0.001158836299664734
40,16,16,0.9999999999954038,1.0,4.5962122996456856e-12
40,32,22,0.9845046859499035,0.98,0.0045046859499034975
60,16,16,1.0000000000000002,1.0,2.220446049250313e-16
60,32,32,0.9999999994851043,1.0,5.148956816469763e-10
60,48,36,0.9943189887407768,0.994,0.0003189887407768488
80,16,16,1.0000000000000002,1.0,2.220446049250313e-16
80,32,32,1.0000000000000002,1.0,2.220446049250313e-16
80,48,48,0.9999999944404008,1.0,5.559599225435363e-09
120,16,16,0.9999999999999996,1.0,4.440892098500626e-16
120,32,32,0.9999999999999996,1.0,4.440892098500626e-16
120,48,48,0.9999999999999996,1.0,4.440892098500626e-16
